epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2333.41,0.71352,0.7466,0.75932,0.96926,0.8306,0.89015,0.93658,0.79092,0.8306,0.89015,0.93658,0.7708,0.46364,0.47204,0.77431,0.64505,0.00053225,0.00053225,0.00053225
31,2412.05,0.71409,0.7668,0.8015,0.96182,0.88581,0.84047,0.93712,0.77924,0.88581,0.84047,0.93712,0.77038,0.49651,0.5188,0.78523,0.6624,0.0005075,0.0005075,0.0005075
32,2487.21,0.67162,0.74757,0.78619,0.93978,0.84509,0.89908,0.9424,0.80007,0.84509,0.89908,0.9424,0.78376,0.47771,0.48626,0.82009,0.65474,0.00048275,0.00048275,0.00048275
33,2562.51,0.68337,0.7864,0.80037,0.95512,0.81994,0.9173,0.93084,0.77682,0.81994,0.9173,0.93084,0.75374,0.4653,0.50283,0.58091,0.63659,0.000458,0.000458,0.000458
34,2637.9,0.66866,0.74357,0.79818,0.93003,0.85889,0.85193,0.92856,0.78631,0.85889,0.85193,0.92856,0.75836,0.45018,0.4945,0.57988,0.63336,0.00043325,0.00043325,0.00043325
35,2714.74,0.67469,0.74447,0.83077,0.94488,0.83324,0.91936,0.94733,0.81252,0.83324,0.91936,0.94733,0.77404,0.44383,0.48101,0.63927,0.62985,0.0004085,0.0004085,0.0004085
36,2791.43,0.66181,0.72455,0.72527,0.95174,0.85999,0.91035,0.94817,0.81132,0.85999,0.91035,0.94817,0.78039,0.44691,0.47027,0.68956,0.63052,0.00038375,0.00038375,0.00038375
37,2870.98,0.67061,0.72301,0.71457,0.94102,0.91109,0.85065,0.94633,0.80164,0.91109,0.85065,0.94633,0.76913,0.45985,0.48862,0.89203,0.63626,0.000359,0.000359,0.000359
38,2951.92,0.64659,0.70635,0.73649,0.93759,0.90831,0.84848,0.94509,0.79595,0.90831,0.84848,0.94509,0.7646,0.44698,0.48547,0.61351,0.63578,0.00033425,0.00033425,0.00033425
39,3033.31,0.66035,0.75643,0.69649,0.93783,0.91359,0.85974,0.93555,0.79205,0.91359,0.85974,0.93555,0.76422,0.46348,0.48688,0.62384,0.63854,0.0003095,0.0003095,0.0003095
40,3115.54,0.64374,0.7082,0.68321,0.93744,0.86201,0.88763,0.94392,0.79485,0.86201,0.88763,0.94392,0.77864,0.44929,0.47242,0.59133,0.63487,0.00028475,0.00028475,0.00028475
41,3217.67,0.58164,0.61621,0.61778,0.92316,0.872,0.87374,0.94386,0.78544,0.872,0.87374,0.94386,0.76478,0.4827,0.45429,0.54087,0.64337,0.00026,0.00026,0.00026
42,3295.92,0.55747,0.58979,0.59576,0.88812,0.811,0.90341,0.92961,0.77912,0.811,0.90341,0.92961,0.76131,0.46758,0.47774,0.66129,0.64509,0.00023525,0.00023525,0.00023525
43,3373.25,0.55257,0.57996,0.61352,0.88224,0.84567,0.89899,0.93315,0.7866,0.84567,0.89899,0.93315,0.76644,0.47109,0.47263,0.68553,0.6412,0.0002105,0.0002105,0.0002105
44,3449.69,0.55185,0.56563,0.59328,0.88631,0.86185,0.86498,0.93063,0.79194,0.86185,0.86498,0.93063,0.76611,0.45184,0.46552,0.68185,0.63818,0.00018575,0.00018575,0.00018575
45,3526.51,0.54285,0.57122,0.5656,0.8914,0.86385,0.88278,0.93955,0.79199,0.86385,0.88278,0.93955,0.77612,0.44196,0.46671,0.78533,0.63247,0.000161,0.000161,0.000161
46,3604.84,0.53319,0.56375,0.4917,0.87551,0.86518,0.89774,0.93843,0.7969,0.86518,0.89774,0.93843,0.77534,0.43299,0.45057,0.88848,0.62457,0.00013625,0.00013625,0.00013625
47,3683.34,0.51549,0.55658,0.52587,0.84742,0.89052,0.86486,0.93726,0.8021,0.89052,0.86486,0.93726,0.77454,0.43745,0.45429,0.80173,0.63754,0.0001115,0.0001115,0.0001115
48,3759.93,0.513,0.55492,0.56001,0.85173,0.88656,0.86413,0.94035,0.8039,0.88656,0.86413,0.94035,0.77746,0.42962,0.45135,0.94895,0.63553,8.675e-05,8.675e-05,8.675e-05
49,3837.62,0.49724,0.55422,0.50095,0.84856,0.88175,0.85518,0.93956,0.80514,0.88175,0.85518,0.93956,0.77362,0.44143,0.4549,0.82805,0.64031,6.2e-05,6.2e-05,6.2e-05
50,3914.06,0.50227,0.537,0.50461,0.85897,0.86313,0.87843,0.94511,0.8082,0.86313,0.87843,0.94511,0.78072,0.43654,0.45049,0.80941,0.63348,3.725e-05,3.725e-05,3.725e-05
